assembly,type,type_decision,section,member_kind,member,member_decision
FunnySharp,FunnySharp.AsyncEnumerablePipelineExtensions,keep,AD-5,method,"[ext] public static System.Collections.Generic.IAsyncEnumerable<TResult> Choose<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, FunnySharp.Option<TResult>> chooser)",keep
FunnySharp,FunnySharp.AsyncEnumerablePipelineExtensions,keep,AD-5,method,"[ext] public static System.Collections.Generic.IAsyncEnumerable<TResult> ChooseValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> chooser)",keep
FunnySharp,FunnySharp.AsyncEnumerablePipelineExtensions,keep,AD-5,method,"[ext] public static System.Collections.Generic.IAsyncEnumerable<TResult> ChooseValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> chooser)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TValue>>> SequenceAsync<TValue>(this System.Collections.Generic.IAsyncEnumerable<FunnySharp.Option<TValue>> source, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Result<System.Collections.Generic.IReadOnlyList<TValue>, TError>> SequenceAsync<TValue, TError>(this System.Collections.Generic.IAsyncEnumerable<FunnySharp.Result<TValue, TError>> source, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<System.Collections.Generic.IReadOnlyList<TValue>, TError>> SequenceAsync<TValue, TError>(this System.Collections.Generic.IAsyncEnumerable<FunnySharp.Validation<TValue, TError>> source, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TResult>>> TraverseAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, FunnySharp.Option<TResult>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Result<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, FunnySharp.Result<TResult, TError>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, FunnySharp.Validation<TResult, TError>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TResult>>> TraverseValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TResult>>> TraverseValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Result<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseValueAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.Tasks.ValueTask<FunnySharp.Result<TResult, TError>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Result<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseValueAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Result<TResult, TError>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseValueAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.Tasks.ValueTask<FunnySharp.Validation<TResult, TError>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.AsyncSequenceExtensions,keep,AD-5,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<System.Collections.Generic.IReadOnlyList<TResult>, TError>> TraverseValueAsync<TSource, TResult, TError>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Validation<TResult, TError>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.ConcurrentEffectExtensions,keep,AD-6,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<TValue, TError>> FirstSuccessAsync<TValue, TError>(this System.Collections.Generic.IEnumerable<FunnySharp.Effect<FunnySharp.Result<TValue, TError>>> effects, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.ConcurrentEffectExtensions,keep,AD-6,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<TValue, TError>> FirstSuccessAsync<TValue, TError>(this System.Collections.Generic.IEnumerable<FunnySharp.Effect<FunnySharp.Result<TValue, TError>>> effects, System.TimeSpan timeout, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.ConcurrentEffectExtensions,keep,AD-6,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Validation<TValue, TError>> FirstSuccessAsync<TValue, TError>(this System.Collections.Generic.IEnumerable<FunnySharp.Effect<FunnySharp.Result<TValue, TError>>> effects, System.TimeSpan timeout, System.TimeProvider timeProvider, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<FunnySharp.Result<TValue, TError>> FromResult<TValue, TError>(FunnySharp.Result<TValue, TError> result)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,public static FunnySharp.Effect<T> FromSync<T>(System.Func<T> operation),keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<T> FromSync<T>(System.Func<System.Threading.CancellationToken, T> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromSync<TEnvironment, T>(System.Func<TEnvironment, T> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromSync<TEnvironment, T>(System.Func<TEnvironment, System.Threading.CancellationToken, T> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,public static FunnySharp.Effect<T> FromTask<T>(System.Func<System.Threading.Tasks.Task<T>> operation),keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<T> FromTask<T>(System.Func<System.Threading.CancellationToken, System.Threading.Tasks.Task<T>> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromTask<TEnvironment, T>(System.Func<TEnvironment, System.Threading.Tasks.Task<T>> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromTask<TEnvironment, T>(System.Func<TEnvironment, System.Threading.CancellationToken, System.Threading.Tasks.Task<T>> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,public static FunnySharp.Effect<T> FromValue<T>(T? value),keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,public static FunnySharp.Effect<T> FromValueTask<T>(System.Func<System.Threading.Tasks.ValueTask<T>> operation),keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<T> FromValueTask<T>(System.Func<System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<T>> operation)",keep
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromValueTask<TEnvironment, T>(System.Func<TEnvironment, System.Threading.Tasks.ValueTask<T>> operation)",keep
